ab_id,pitcher_id,p_throws,pitch_type,pfx_x,vy0,px,pz,type_confidence
2015008285,453562,R,CU,8.27,-111.849,-1.652,3.851,2.0
2015008285,453562,R,SL,3.18,-127.733,1.014,2.212,2.0
2015008290,453562,R,SL,0.21,-129.264,1.792,1.834,2.0
2015008290,453562,R,SI,-7.53,-134.224,-0.477,2.83,2.0
2015008290,453562,R,SL,2.21,-128.94,-0.101,0.965,2.0
2015008290,453562,R,SI,-7.54,-135.474,-1.76,3.166,2.0
2015008290,453562,R,SI,-9.02,-134.881,-0.801,2.788,2.0
2015008290,453562,R,SL,3.4,-127.594,0.903,1.599,2.0
2015008290,453562,R,FF,-6.0,-133.89,-0.957,3.242,2.0
2015008291,453562,R,FF,-6.53,-132.937,0.358,2.745,2.0
2015008291,453562,R,SI,-6.45,-133.329,0.142,3.879,2.0
2015008291,453562,R,CU,6.1,-115.32,-0.662,1.225,2.0
2015008292,453562,R,SI,-10.16,-134.835,0.158,1.717,2.0
2015008292,453562,R,SI,-10.11,-134.746,-0.135,3.808,2.0
2015008292,453562,R,SL,2.86,-126.636,0.066,2.331,2.0
2015008292,453562,R,CU,6.14,-116.047,0.481,1.03,2.0
2015008292,453562,R,SL,3.75,-127.57,0.128,2.189,2.0
2015008292,453562,R,SI,-7.0,-136.065,0.607,2.106,2.0
2015013989,453562,R,FF,-5.99,-136.95,-1.08,1.18,2.0
2015013989,453562,R,FF,-2.74,-137.34,0.02,1.36,2.0
2015013989,453562,R,FF,-4.24,-136.81,0.42,1.43,2.0
2015013989,453562,R,SL,0.36,-135.39,0.9,0.98,2.0
2015013989,453562,R,SL,5.75,-134.8,0.4,1.85,2.0
2015013990,453562,R,SI,-8.62,-139.15,-0.13,1.0,2.0
2015013990,453562,R,FF,-4.4,-138.97,-0.59,2.48,2.0
2015013991,453562,R,SL,0.61,-133.83,-0.09,1.81,2.0
2015013991,453562,R,FF,-5.19,-137.46,-0.14,1.35,2.0
2015013991,453562,R,SI,-7.09,-137.95,-1.58,2.6,0.911
2015013991,453562,R,SL,2.33,-134.38,0.08,1.96,2.0
2015013992,453562,R,SI,-6.1,-137.93,-0.54,1.59,0.919
2015013992,453562,R,SL,4.02,-133.51,-0.36,1.78,2.0
2015013993,453562,R,CU,7.71,-116.46,0.51,1.43,2.0
2015013993,453562,R,CU,7.91,-118.46,-0.87,2.34,2.0
2015013993,453562,R,CU,7.27,-118.9,0.85,0.22,2.0
2015013993,453562,R,SL,5.68,-131.47,-0.21,1.21,2.0
2015013993,453562,R,CU,8.64,-117.56,1.11,0.34,2.0
2015013993,453562,R,SL,4.7,-130.96,-0.41,3.17,2.0
2015013993,453562,R,SL,4.65,-133.32,-0.96,2.9,2.0
2015013993,453562,R,SL,3.61,-132.06,0.01,1.79,2.0
2015013994,453562,R,CU,8.47,-115.82,-0.52,2.64,2.0
2015013994,453562,R,CH,-9.67,-129.33,-0.32,2.52,2.0
2015013999,453562,R,FF,-4.94,-134.14,-0.89,3.09,2.0
2015013999,453562,R,SL,4.29,-130.52,0.34,1.97,2.0
2015014000,453562,R,SL,4.98,-126.0,0.13,1.87,2.0
2015014000,453562,R,SI,-7.25,-136.11,1.11,2.78,0.864
2015014000,453562,R,CU,7.5,-115.26,0.48,2.02,2.0
2015014000,453562,R,SI,-6.46,-136.8,0.98,2.26,2.0
2015014000,453562,R,SL,5.25,-127.77,-0.15,1.14,2.0
2015014001,453562,R,SL,-0.35,-134.79,-0.16,2.18,2.0
2015014001,453562,R,SI,-6.41,-136.51,0.51,1.59,2.0
2015014001,453562,R,SL,3.72,-130.1,0.51,2.37,2.0
2015014001,453562,R,SI,-7.56,-136.85,0.65,1.56,0.912
2015014001,453562,R,SI,-7.48,-136.35,-0.13,2.05,0.927
2015014006,453562,R,SI,-7.44,-136.73,-0.42,1.6,0.92
2015014007,453562,R,SI,-6.79,-137.46,-0.94,1.22,0.922
2015014007,453562,R,CH,-10.59,-129.71,-0.63,1.19,2.0
2015014007,453562,R,SL,3.53,-133.24,1.25,2.16,2.0
2015014007,453562,R,FF,-3.68,-135.7,-0.81,2.37,2.0
2015014007,453562,R,SL,1.58,-133.97,0.48,1.69,2.0
2015014007,453562,R,SL,3.64,-133.57,1.15,2.05,2.0
2015014008,453562,R,CU,7.25,-117.9,0.65,1.46,2.0
2015014008,453562,R,SL,2.99,-134.55,-0.71,1.14,2.0
2015014008,453562,R,FF,-4.42,-138.09,0.22,2.8,2.0
2015014008,453562,R,CU,9.75,-116.93,-1.52,3.04,2.0
2015014008,453562,R,SL,4.66,-131.88,0.89,2.66,2.0
2015014013,453562,R,SL,5.37,-131.55,0.07,2.77,2.0
2015014013,453562,R,SI,-6.26,-138.14,-1.11,1.42,0.883
2015014013,453562,R,CH,-7.25,-126.25,-0.88,1.89,2.0
2015014013,453562,R,CH,-7.63,-128.73,-0.48,1.48,2.0
2015014014,453562,R,SL,2.66,-133.37,-0.68,2.96,2.0
2015014014,453562,R,FF,-6.53,-137.33,-0.76,3.25,2.0
2015014014,453562,R,CU,9.49,-118.13,-0.04,2.13,2.0
2015014015,453562,R,CU,8.97,-117.55,0.81,1.93,2.0
2015014015,453562,R,FF,-4.8,-139.84,-0.15,1.54,2.0
2015014015,453562,R,CH,-10.36,-130.86,-0.72,1.34,2.0
2015014022,453562,R,SL,3.81,-130.57,-0.3,3.76,2.0
2015014022,453562,R,SI,-6.78,-136.1,-0.35,2.44,0.769
2015014022,453562,R,SL,5.23,-131.04,-0.86,3.2,2.0
2015014022,453562,R,SL,4.35,-131.35,1.12,1.46,2.0
2015014023,453562,R,SL,4.06,-132.83,1.31,2.1,2.0
2015014023,453562,R,SL,5.54,-131.4,1.34,1.71,2.0
2015014023,453562,R,SI,-8.88,-137.55,-0.39,2.38,0.886
2015014023,453562,R,FF,-5.13,-138.18,-0.65,2.61,2.0
2015014024,453562,R,FF,-2.42,-135.23,0.17,3.36,2.0
2015014024,453562,R,SI,-7.51,-136.58,0.91,2.02,2.0
2015014024,453562,R,SL,2.59,-131.23,0.86,1.44,2.0
2015014024,453562,R,SI,-7.44,-137.76,0.11,2.66,0.894
2015014028,453562,R,SI,-8.17,-136.97,0.07,2.51,2.0
2015014028,453562,R,SI,-6.96,-136.43,-1.2,2.77,0.804
2015014029,453562,R,CH,-10.33,-127.15,0.45,-0.96,2.0
2015014029,453562,R,FF,-4.66,-138.21,-1.68,2.32,2.0
2015014029,453562,R,SL,4.18,-132.19,1.34,2.01,2.0
2015014029,453562,R,FF,-2.38,-136.79,-0.7,1.48,2.0
2015014029,453562,R,SL,4.98,-132.45,-0.24,2.87,2.0
2015014030,453562,R,SI,-6.88,-137.3,0.36,1.58,0.918
2015014030,453562,R,CU,8.84,-116.34,0.27,1.55,2.0
2015014030,453562,R,FF,-3.92,-138.79,0.77,2.63,2.0
2015014031,453562,R,CH,-10.54,-127.5,0.16,0.64,2.0
2015014031,453562,R,SL,4.03,-132.71,0.33,3.64,2.0
2015014031,453562,R,SL,3.77,-134.15,1.14,1.99,2.0
2015014031,453562,R,SL,5.14,-129.36,-0.14,3.06,2.0
2015014031,453562,R,SI,-6.77,-139.24,-0.21,2.55,2.0
2015014031,453562,R,SL,5.27,-130.47,-0.2,2.39,2.0
2015014038,453562,R,SL,3.61,-130.8,-1.16,2.47,2.0
2015014038,453562,R,SL,2.25,-132.4,-0.51,2.69,2.0
2015014038,453562,R,SI,-7.13,-136.89,-0.92,1.83,0.912
2015014038,453562,R,CU,10.0,-116.28,1.13,1.19,2.0
2015014038,453562,R,SL,4.98,-129.06,-0.54,3.62,2.0
2015014039,453562,R,FF,-7.02,-137.74,-1.23,3.15,2.0
2015014039,453562,R,SI,-5.67,-138.89,-0.63,2.19,2.0
2015014040,453562,R,SL,4.81,-129.81,0.68,2.71,2.0
2015014040,453562,R,SL,4.29,-131.67,0.08,2.76,2.0
2015014040,453562,R,SI,-7.05,-136.95,1.01,1.95,0.906
2015014040,453562,R,SL,5.2,-132.0,-0.54,2.87,2.0
2015014041,453562,R,SL,8.26,-125.45,0.26,1.97,2.0
2015014041,453562,R,SL,4.36,-128.74,2.31,1.56,2.0
2015014041,453562,R,CU,8.62,-116.08,0.16,1.18,2.0
2015014041,453562,R,FF,-3.21,-136.14,0.61,2.66,2.0
2015020053,453562,R,FF,-3.02,-135.864,-0.363,1.843,2.0
2015020053,453562,R,FF,-7.73,-135.245,0.37,3.0,2.0
2015020053,453562,R,CU,8.08,-115.586,-0.999,0.978,2.0
2015020054,453562,R,FF,-7.09,-138.217,-0.898,2.355,2.0
2015020054,453562,R,CU,7.28,-116.043,-0.055,1.518,2.0
2015020055,453562,R,CU,8.44,-113.412,-0.239,2.635,2.0
2015020055,453562,R,SL,3.16,-131.994,1.115,1.506,2.0
2015020055,453562,R,SI,-9.33,-139.121,-1.143,1.931,2.0
2015020061,453562,R,FF,-7.32,-136.439,-0.398,2.233,2.0
2015020062,453562,R,FF,-4.28,-135.705,-1.384,2.587,2.0
2015020062,453562,R,FF,-7.26,-136.877,-1.358,3.326,2.0
2015020062,453562,R,SL,2.08,-132.473,-0.317,1.544,2.0
2015020062,453562,R,SL,5.54,-133.706,-0.34,1.735,2.0
2015020062,453562,R,CH,-12.89,-128.472,-0.625,3.095,2.0
2015020062,453562,R,SI,-8.41,-137.73,0.974,2.614,0.921
2015020062,453562,R,SL,2.69,-134.674,-0.352,2.271,2.0
2015020063,453562,R,FF,-6.48,-138.604,0.072,1.977,2.0
2015020063,453562,R,CU,6.92,-117.254,-0.869,1.575,2.0
2015020063,453562,R,SL,1.56,-134.004,1.803,0.402,2.0
2015020063,453562,R,SL,5.27,-131.493,-0.886,2.344,2.0
2015020067,453562,R,FF,-6.97,-135.485,-1.044,2.784,2.0
2015020068,453562,R,FF,-1.64,-136.667,-1.254,2.499,2.0
2015020068,453562,R,FF,-5.44,-137.071,-0.058,1.786,2.0
2015020068,453562,R,CH,-12.26,-128.412,-1.026,0.377,2.0
2015020068,453562,R,SL,3.75,-131.509,-0.293,2.953,2.0
2015020068,453562,R,CU,6.7,-115.501,0.398,2.007,2.0
2015020069,453562,R,FF,-3.47,-136.823,0.506,1.826,2.0
2015020069,453562,R,FF,-7.01,-137.445,0.291,2.58,2.0
2015020069,453562,R,CU,6.26,-115.759,-0.321,0.6,2.0
2015020069,453562,R,FF,-4.89,-136.805,0.738,2.339,2.0
2015020069,453562,R,CU,5.41,-117.322,1.123,1.336,2.0
2015020069,453562,R,SL,3.41,-129.475,1.403,0.441,2.0
2015020069,453562,R,FF,-4.75,-136.116,-0.623,3.248,2.0
2015020069,453562,R,FF,-3.1,-135.595,-0.345,2.854,2.0
2015020078,453562,R,FF,-5.28,-136.42,-0.92,2.768,2.0
2015020078,453562,R,CU,4.72,-113.241,-0.164,1.609,2.0
2015020078,453562,R,SL,4.42,-129.155,-0.2,3.12,2.0
2015020079,453562,R,SL,4.4,-132.406,0.322,2.395,2.0
2015020079,453562,R,SI,-7.65,-135.705,-0.098,3.849,2.0
2015020079,453562,R,CH,-10.75,-128.546,-1.078,2.919,2.0
2015020079,453562,R,FF,-6.25,-136.888,-0.006,2.665,2.0
2015020080,453562,R,SL,3.47,-130.577,0.261,3.141,2.0
2015020080,453562,R,FF,-8.03,-136.624,0.177,3.278,2.0
2015020080,453562,R,CU,6.45,-117.208,-0.098,1.384,2.0
2015020081,453562,R,FF,-5.04,-137.091,0.754,2.825,2.0
2015020081,453562,R,SL,4.92,-129.377,-0.691,3.42,2.0
2015020081,453562,R,SL,5.24,-129.675,0.007,1.793,2.0
2015020081,453562,R,SL,4.63,-128.445,0.057,1.672,2.0
2015020081,453562,R,CH,-10.39,-126.502,0.131,1.537,2.0
2015020082,453562,R,FF,-6.0,-136.644,0.511,0.747,2.0
2015020082,453562,R,FF,-7.94,-136.47,0.054,0.583,2.0
